accountid,doc_number,po_number,id,actual_trans_ts,ea_abbrev,qty,item_code,description,containerid,Day,actual_weight,ea_width,ea_height,ea_depth,var0,cntrl,service_class_id
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70VI3C56SOL,VIBE SOLITUDE,170-20204,1,50.52,0,0,0,PCIU8473967,C000001085634,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70VI3C56SOL,VIBE SOLITUDE,170-20204,1,51.84,0,0,0,PCIU8473967,C000001085645,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NI3E55JET,NICHE JETTY,170-20204,1,54.35,0,0,0,PCIU8473967,C000001085348,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20204,1,48.77,0,0,0,PCIU8473967,C000001085477,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NI3E55JET,NICHE JETTY,170-20204,1,57.09,0,0,0,PCIU8473967,C000001085341,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20205,1,52.71,0,0,0,PCIU8473967,C000001085461,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20205,1,49.54,0,0,0,PCIU8473967,C000001085460,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20205,1,50.85,0,0,0,PCIU8473967,C000001085451,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NI3E55JET,NICHE JETTY,170-20205,1,36.09,0,0,0,PCIU8473967,C000001085351,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20205,1,51.07,0,0,0,PCIU8473967,C000001085476,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70VI3C56SOL,VIBE SOLITUDE,170-20206,1,49.54,0,0,0,PCIU8473967,C000001085629,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70VI3C56SOL,VIBE SOLITUDE,170-20206,1,47.68,0,0,0,PCIU8473967,C000001085627,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20206,1,49.1,0,0,0,PCIU8473967,C000001085475,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NI3E55JET,NICHE JETTY,170-20206,1,39.15,0,0,0,PCIU8473967,C000001085345,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NI3E55JET,NICHE JETTY,170-20206,1,48.45,0,0,0,PCIU8473967,C000001085343,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NI3E55JET,NICHE JETTY,170-20206,1,44.4,0,0,0,PCIU8473967,C000001085347,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,15EL3E56SAN,ELEMENT SANDSTORM,170-20207,1,50.31,0,0,0,PCIU8473967,C000001085190,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,15EL3E56SAN,ELEMENT SANDSTORM,170-20207,1,54.68,0,0,0,PCIU8473967,C000001085188,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,15EL3E56SIL,Element Silver Dollar,170-20207,1,60.15,56,0,0,PCIU8473967,C000001085173,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,90SY5B57WAY,SYNTHESIS WAYWARD,170-20216,1,35,0,0,0,PCIU8473967,C000001085792,4
